"District_Name","SubCounty","Parish","Villagecode","c4fq64","c4fq65","c4fq66","c4fq67","c4fq68","c4fq69","c4fq70","c4fq71","c4fq72","c4fq72_other","c4fq73","c4fq73_other","Health_Response","Reason_Health_Not_Done"
101,101204,10120402,1012040204,,,,,,,,,,,,,3,"no health centre at the island"
102,102101,10210104,1021010402,2,2,3,3,3,4,3,4,3,,,,2,
102,102101,10210108,1021010802,2,2,3,3,3,4,3,3,3,,,,1,
102,102102,10210202,1021020205,,,,,,,,,,,,,,
102,102102,10210205,1021020504,,,,,,,,,,,,,3,"the community now uses Mulago Hospital after the HC has been demolished for renovation"
102,102102,10210206,1021020601,3,3,3,3,3,4,4,4,4,,,,1,
102,102102,10210208,1021020805,2,3,3,2,3,4,3,3,4,,,,1,
102,102103,10210301,1021030109,,,,,,,,,,,,,3,"data collected by another team in trip 1"
102,102103,10210302,1021030203,3,3,3,3,3,3,3,3,3,,,,1,
102,102103,10210304,1021030412,3,3,3,3,3,3,3,3,3,,,,3,"done by another team in trip 1"
102,102103,10210305,1021030504,3,3,3,1,3,3,3,3,3,,,,1,
102,102103,10210305,1021030509,,,,,,,,,,,,,3,"Hospital is most common Facility"
102,102103,10210306,1021030606,,,,,,,,,,,,,3,"the community uses a private hospital"
102,102103,10210308,1021030803,,,,,,,,,,,,,,
102,102103,10210309,1021030904,3,3,3,3,3,3,3,3,3,,,,1,
102,102103,10210309,1021030904,3,3,3,3,3,3,3,3,3,,,,1,
102,102103,10210312,1021031208,,,,,,,,,,,,,3,"THE COMMUNITY MAINLY USES LUBAGA HOSPITAL"
102,102104,10210401,1021040102,3,3,3,3,3,4,4,4,3,,,,1,
102,102104,10210402,1021040203,,,,,,,,,,,,,3,
102,102104,10210410,1021041002,3,3,3,3,3,4,3,3,3,,,,2,
102,102104,10210411,1021041118,,,,,,,,,,,,,,
102,102104,10210417,1021041701,,,,,,,,,,,,,3,"they mainly use Nsambya hospital"
102,102104,10210419,1021041903,,,,,,,,,,,,,3,"HEALTH CENTRE DEMOLISHED FOR RENOVATION"
