"District_Name","SubCounty","Parish","Villagecode","CFService_ID","C2AQ3","C2AQ4","C2AQ5","C2AQ6","C2AQ7","C2AQ8","end_service_screen","Survey_Visit","Service_Response","Reason_Service_Not_Done"
101,101204,10120402,1012040204,1,3,,,,,,,2,1,
101,101204,10120402,1012040204,2,3,,,,,,,2,1,
101,101204,10120402,1012040204,3,3,,,,,,,2,1,
101,101204,10120402,1012040204,4,3,,,,,,,2,1,
101,101204,10120402,1012040204,5,3,,,,,,,2,1,
101,101204,10120402,1012040204,6,3,,,,,,,2,1,
101,101204,10120402,1012040204,7,3,,,,,,,2,1,
101,101204,10120402,1012040204,8,3,,,,,,,2,1,
101,101204,10120402,1012040204,9,2,"KALANGALA HOSPITAL",30,9,60,1,,2,1,
101,101204,10120402,1012040204,10,3,,,,,,,2,1,
101,101204,10120402,1012040204,11,3,,,,,,,2,1,
101,101204,10120402,1012040204,12,3,,,,,,,2,1,
101,101204,10120402,1012040204,13,2,,30,9,60,1,,2,1,
101,101204,10120402,1012040204,14,2,,30,9,60,1,,2,1,
101,101204,10120402,1012040204,15,3,,,,,,,2,1,
101,101204,10120402,1012040204,16,3,,,,,,,2,1,
101,101204,10120402,1012040204,17,3,,,,,,,2,1,
101,101204,10120402,1012040204,18,3,,,,,,,2,1,
101,101204,10120402,1012040204,19,3,,,,,,,2,1,
101,101204,10120402,1012040204,20,3,,,,,,,2,1,
101,101204,10120402,1012040204,21,3,,,,,,,2,1,
101,101204,10120402,1012040204,22,1,,0,1,0,3,,2,1,
101,101204,10120402,1012040204,23,3,,,,,,,2,1,
101,101204,10120402,1012040204,24,3,,,,,,,2,1,
101,101204,10120402,1012040204,25,3,,,,,,,2,1,
101,101204,10120402,1012040204,26,3,,,,,,,2,1,
101,101204,10120402,1012040204,27,3,,,,,,,2,1,
101,101204,10120402,1012040204,28,3,,,,,,,2,1,
101,101204,10120402,1012040204,29,3,,,,,,,2,1,
101,101204,10120402,1012040204,30,3,,,,,,,2,1,
101,101204,10120402,1012040204,31,1,,1,9,10,2,,2,1,
101,101204,10120402,1012040204,32,3,,,,,,,2,1,
101,101204,10120402,1012040204,33,3,,,,,,,2,1,
102,102101,10210104,1021010402,1,2,"BAT VALLEY",2,1,30,2,,2,1,
102,102101,10210104,1021010402,2,2,"CHILDRENS CORNER",1,1,15,1,,2,1,
102,102101,10210104,1021010402,3,2,"KITANTE",3,1,45,2,,2,1,
102,102101,10210104,1021010402,4,2,"STUDENTS CENTRE",2,1,20,1,,2,1,
102,102101,10210104,1021010402,5,2,"YMCA",2,1,30,2,,2,1,
102,102101,10210104,1021010402,6,3,,,,,,,2,1,
102,102101,10210104,1021010402,7,2,"MAKERERE ADULT EDUCATION CENTRE",0.5,1,10,1,,2,1,
102,102101,10210104,1021010402,8,2,"KISENYI  HC",4,6,20,2,,2,1,
102,102101,10210104,1021010402,9,2,"MULAGO HOSPITAL",2.5,6,10,3,,2,1,
102,102101,10210104,1021010402,10,2,"SEVENTH DAY ADVENTIST",0.5,1,10,1,,2,1,
102,102101,10210104,1021010402,11,2,"KADIC",0.5,1,10,1,,2,1,
102,102101,10210104,1021010402,12,2,,1,1,20,1,,2,1,
102,102101,10210104,1021010402,13,2,,1,1,20,1,,2,1,
102,102101,10210104,1021010402,14,2,,1,1,20,1,,2,1,
102,102101,10210104,1021010402,15,2,,2,1,30,1,,2,1,
102,102101,10210104,1021010402,16,2,,2,6,10,1,,2,1,
102,102101,10210104,1021010402,17,2,,1,1,20,1,,2,1,
102,102101,10210104,1021010402,18,3,,,,,,,2,1,
102,102101,10210104,1021010402,19,2,,1,1,15,1,,2,1,
102,102101,10210104,1021010402,20,3,,,,,,,2,1,
102,102101,10210104,1021010402,21,1,,0.100000001490116,1,1,1,,2,1,
102,102101,10210104,1021010402,22,1,,0.100000001490116,1,1,3,,2,1,
102,102101,10210104,1021010402,23,2,,1,1,20,2,,2,1,
102,102101,10210104,1021010402,24,3,,,,,,,2,1,
102,102101,10210104,1021010402,25,3,,,,,,,2,1,
102,102101,10210104,1021010402,26,3,,,,,,,2,1,
102,102101,10210104,1021010402,27,3,,,,,,,2,1,
102,102101,10210104,1021010402,28,3,,,,,,,2,1,
102,102101,10210104,1021010402,29,3,,,,,,,2,1,
102,102101,10210104,1021010402,30,3,,,,,,,2,1,
102,102101,10210104,1021010402,31,3,,,,,,,2,1,
102,102101,10210104,1021010402,32,2,,1.5,1,20,1,,2,1,
102,102101,10210104,1021010402,33,3,,,,,,,2,1,
102,102101,10210108,1021010802,1,2,"NAKIVUBO  PS",0.300000011920929,1,15,1,,2,1,
102,102101,10210108,1021010802,2,1,"HOSANNA  PS",0,1,0,1,,2,1,
102,102101,10210108,1021010802,3,3,,,,,,,2,1,
102,102101,10210108,1021010802,4,2,"ST LUKE -MENGO",0.5,1,10,1,,2,1,
102,102101,10210108,1021010802,5,3,,,,,,,2,1,
102,102101,10210108,1021010802,6,3,,,,,,,2,1,
102,102101,10210108,1021010802,7,3,,,,,,,2,1,
102,102101,10210108,1021010802,8,2,"KISENYI HC",1,1,30,2,,2,1,
102,102101,10210108,1021010802,9,2,"MULAGO  HOSPITAL",3,6,10,2,,2,1,
102,102101,10210108,1021010802,10,2,"NAKULABYE  CLINIC",0.5,1,3,1,,2,1,
102,102101,10210108,1021010802,11,3,,,,,,,2,1,
102,102101,10210108,1021010802,12,2,,0.200000002980232,1,2,1,,2,1,
102,102101,10210108,1021010802,13,2,,0.200000002980232,1,2,1,,2,1,
102,102101,10210108,1021010802,14,3,,,,,,,2,1,
102,102101,10210108,1021010802,15,2,,0.200000002980232,1,2,1,,2,1,
102,102101,10210108,1021010802,16,2,,0.200000002980232,1,2,1,,2,1,
102,102101,10210108,1021010802,17,2,,0.200000002980232,1,2,1,,2,1,
102,102101,10210108,1021010802,18,3,,,,,,,2,1,
102,102101,10210108,1021010802,19,2,,0.400000005960464,1,4,2,,2,1,
102,102101,10210108,1021010802,20,3,,,,,,,2,1,
102,102101,10210108,1021010802,21,2,,1,1,15,1,,2,1,
102,102101,10210108,1021010802,22,1,,0,1,0,1,,2,1,
102,102101,10210108,1021010802,23,3,,,,,,,2,1,
102,102101,10210108,1021010802,24,3,,,,,,,2,1,
102,102101,10210108,1021010802,25,3,,,,,,,2,1,
102,102101,10210108,1021010802,26,3,,,,,,,2,1,
102,102101,10210108,1021010802,27,3,,,,,,,2,1,
102,102101,10210108,1021010802,28,3,,,,,,,2,1,
102,102101,10210108,1021010802,29,3,,,,,,,2,1,
102,102101,10210108,1021010802,30,3,,,,,,,2,1,
102,102101,10210108,1021010802,31,3,,,,,,,2,1,
102,102101,10210108,1021010802,32,1,,0.300000011920929,1,3,1,,2,1,
102,102101,10210108,1021010802,33,3,,,,,,,2,1,
102,102102,10210202,1021020205,1,2,"Kazo Central",2,1,60,1,,2,1,
102,102102,10210202,1021020205,2,1,"St Jude",0.300000011920929,1,20,1,,2,1,
102,102102,10210202,1021020205,3,2,"Homeland Intergrated",0.100000001490116,1,4,1,,2,1,
102,102102,10210202,1021020205,4,1,"Homeland Intergrated",0.100000001490116,1,1,1,,2,1,
102,102102,10210202,1021020205,5,3,,,,,,,2,1,
102,102102,10210202,1021020205,6,3,,,,,,,2,1,
102,102102,10210202,1021020205,7,3,,,,,,,2,1,
102,102102,10210202,1021020205,8,2,"Kawala Health Center",4,6,20,2,,2,1,
102,102102,10210202,1021020205,9,2,"Mulago Hospital",5,2,20,1,,2,1,
102,102102,10210202,1021020205,10,1,"Moon light",0.100000001490116,1,2,1,,2,1,
102,102102,10210202,1021020205,11,3,,,,,,,2,1,
102,102102,10210202,1021020205,12,2,,1,6,5,1,,2,1,
102,102102,10210202,1021020205,13,2,,1,6,5,1,,2,1,
102,102102,10210202,1021020205,14,2,,7,2,40,1,,2,1,
102,102102,10210202,1021020205,15,2,,1,6,5,1,,2,1,
102,102102,10210202,1021020205,16,2,,1,6,5,1,,2,1,
102,102102,10210202,1021020205,17,2,,0.600000023841858,1,10,1,,2,1,
102,102102,10210202,1021020205,18,3,,,,,,,2,1,
102,102102,10210202,1021020205,19,2,,0.100000001490116,1,5,1,,2,1,
102,102102,10210202,1021020205,20,3,,,,,,,2,1,
102,102102,10210202,1021020205,21,1,,0,1,1,3,,2,1,
102,102102,10210202,1021020205,22,1,,0,1,1,3,,2,1,
102,102102,10210202,1021020205,23,,,,,,,,2,,
102,102102,10210202,1021020205,24,3,,,,,,,2,1,
102,102102,10210202,1021020205,25,3,,,,,,,2,1,
102,102102,10210202,1021020205,26,3,,,,,,,2,1,
102,102102,10210202,1021020205,27,3,,,,,,,2,1,
102,102102,10210202,1021020205,28,3,,,,,,,2,1,
102,102102,10210202,1021020205,29,3,,,,,,,2,1,
102,102102,10210202,1021020205,30,3,,,,,,,2,1,
102,102102,10210202,1021020205,31,3,,,,,,,2,1,
102,102102,10210202,1021020205,32,2,,1,1,20,1,,2,1,
102,102102,10210202,1021020205,33,3,,,,,,,2,1,
102,102102,10210205,1021020504,1,2,"KAWEMPE CHURCH OF UGANDA",1,1,10,1,,2,1,
102,102102,10210205,1021020504,2,1,"KIBEDI PS",0.200000002980232,1,2,1,,2,1,
102,102102,10210205,1021020504,3,2,"KAWEMPE MUSLIM SS",0.600000023841858,1,5,1,,2,1,
102,102102,10210205,1021020504,4,2,"VICTORY COLLEGE",0.5,1,4,1,,2,1,
102,102102,10210205,1021020504,5,3,,,,,,,2,1,
102,102102,10210205,1021020504,6,3,,,,,,,2,1,
102,102102,10210205,1021020504,7,3,,,,,,,2,1,
102,102102,10210205,1021020504,8,2,"KAWEMPE HC",2,6,30,2,,2,1,
102,102102,10210205,1021020504,9,2,"MULAGO HOSPITAL",5,2,20,2,,2,1,
102,102102,10210205,1021020504,10,2,"KYADONDO CLINIC",0.300000011920929,1,1,1,,2,1,
102,102102,10210205,1021020504,11,2,"SAIDI NABUBAKAR HOSPITAL",8,2,40,1,,2,1,
102,102102,10210205,1021020504,12,3,,,,,,,2,1,
102,102102,10210205,1021020504,13,2,,1,1,15,1,,2,1,
102,102102,10210205,1021020504,14,3,,,,,,,2,1,
102,102102,10210205,1021020504,15,2,,4,2,25,1,,2,1,
102,102102,10210205,1021020504,16,2,,0.300000011920929,1,3,1,,2,1,
102,102102,10210205,1021020504,17,2,,4,2,25,1,,2,1,
102,102102,10210205,1021020504,18,3,,,,,,,2,1,
102,102102,10210205,1021020504,19,2,,1,1,15,1,,2,1,
102,102102,10210205,1021020504,20,3,,,,,,,2,1,
102,102102,10210205,1021020504,21,3,,,,,,,2,1,
102,102102,10210205,1021020504,22,1,,0,1,0,3,,2,1,
102,102102,10210205,1021020504,23,1,,0,1,0,3,,2,1,
102,102102,10210205,1021020504,24,3,,,,,,,2,1,
102,102102,10210205,1021020504,25,3,,,,,,,2,1,
102,102102,10210205,1021020504,26,3,,,,,,,2,1,
102,102102,10210205,1021020504,27,3,,,,,,,2,1,
102,102102,10210205,1021020504,28,3,,,,,,,2,1,
102,102102,10210205,1021020504,29,3,,,,,,,2,1,
102,102102,10210205,1021020504,30,3,,,,,,,2,1,
102,102102,10210205,1021020504,31,3,,,,,,,2,1,
102,102102,10210205,1021020504,32,2,,1.5,1,20,2,,2,1,
102,102102,10210205,1021020504,33,3,,,,,,,2,1,
102,102102,10210206,1021020601,1,3,,,,,,,2,1,
102,102102,10210206,1021020601,2,1,"BRIGHT FUTURE CHILDRENS CENTRE  PRIMARY SCHOOL",0.5,1,5,1,,2,1,
102,102102,10210206,1021020601,3,3,,,,,,,2,1,
102,102102,10210206,1021020601,4,2,"BRIGHT FUTURE SECONDARY SCHOOL",1,1,25,2,,2,1,
102,102102,10210206,1021020601,5,2,"KAWEMPE YOUTH DEVELOPMENT ASSOCIATION",1.5,1,30,1,,2,1,
102,102102,10210206,1021020601,6,3,,,,,,,2,1,
102,102102,10210206,1021020601,7,3,,,,,,,2,1,
102,102102,10210206,1021020601,8,3,,,,,,,2,1,
102,102102,10210206,1021020601,9,2,"MULAGO HOSPITAL",2,2,20,1,,2,1,
102,102102,10210206,1021020601,10,1,"KIGANDA MARTENITY",0.200000002980232,1,3,1,,2,1,
102,102102,10210206,1021020601,11,3,,,,,,,2,1,
102,102102,10210206,1021020601,12,3,,,,,,,2,1,
102,102102,10210206,1021020601,13,2,,1,1,25,1,,2,1,
102,102102,10210206,1021020601,14,3,,,,,,,2,1,
